Record Id,Category,Sub Category,Skill,isRequired
RBXTZIUF,8JYsNyZX,paZTuwn4,Demonstrates how to lay solid surface protection,TRUE
A870US6E,8JYsNyZX,paZTuwn4,Demonstrates how to lay carpetsaver,TRUE
GW7OEZVB,8JYsNyZX,paZTuwn4,Can explain why corner protectors are used and demonstrates what corners to use them on,TRUE
MBHOEHEZ,8JYsNyZX,paZTuwn4,can list 3 types of tape used and when to use them,TRUE
9W0SVJ5S,8JYsNyZX,paZTuwn4,Demonstrates set up and crerate a zip wall door,TRUE
MYZQUO08,8JYsNyZX,paZTuwn4,Demonstrates how to properly seal tape to a surface,TRUE
OWB5KR3C,8JYsNyZX,paZTuwn4,Can explain why not to unhook or hook up a gas/ water line,TRUE
TMK7DI6D,8JYsNyZX,paZTuwn4,Can explain how to protect surfaces when moving a fridge to a new location,TRUE
EXIRAS77,8JYsNyZX,jefE624Q,Can list 5 items inspected during a QC for cleanliness,TRUE
OH9A77OY,8JYsNyZX,jefE624Q,Can explain where dust bags should be stored and why,TRUE
B3W7QGKN,8JYsNyZX,jefE624Q,Can explain where stain rags/ carpet pads should be kept and why,TRUE
MZACQ3OS,8JYsNyZX,jefE624Q,Can explain why all nails must be removed from trim and walls,TRUE
0COEV2GU,8JYsNyZX,jefE624Q,Can explain expectations of keeping equipment clean,TRUE
M0ZVVC5U,y6ZXyYam,218pXetn,Demonstrates checking the vacuum bag before starting to use and can explain when to replace paper bag,TRUE
J0R7WH2N,y6ZXyYam,218pXetn,Can explain why you should check the felt head for softness,TRUE
Y4KTCYCA,8JYsNyZX,7fqhRGZj,Demonstrates how to overlap each path of head,TRUE
QAMW2L7O,8JYsNyZX,7fqhRGZj,"Demonstrates how to work across the room ""short passes""",TRUE
89NGTP8P,8JYsNyZX,7fqhRGZj,Demonstrates how to vacume all edges,TRUE
K6DY7D6V,8JYsNyZX,HiwY3UPz,Can give an examples of when to wet tack vs dry tack,TRUE
6Q4PO6M0,8JYsNyZX,HiwY3UPz,Demonstrates how to overlap,TRUE
K4903IL3,8JYsNyZX,HiwY3UPz,Demonstrates how to not lift and turn while tacking,TRUE
W7R20N33,8JYsNyZX,HiwY3UPz,Demonstrate how wet the microfiber head should be to tack,TRUE
QA94FONM,8JYsNyZX,bIn96jPx,"Can explain general movement through floor ""where to go next""",TRUE
HIHRRQ6P,8JYsNyZX,bIn96jPx,Understands how far ahead you can get from roller,TRUE
53SSDRLT,8JYsNyZX,bIn96jPx,Demonstrates applying the proper amount of material,TRUE
3M89XSWY,8JYsNyZX,bIn96jPx,"Demonstrates finishing top, bottom and luvers of vents",TRUE
B2O3NBKW,8JYsNyZX,bIn96jPx,Demonstrates finishing nosings and steps with no drips,TRUE
